id,text
002-441-225-525-606,A study of hypertension in the Bahamas.
002-692-518-513-162,Major lionfish hunt launched
002-805-302-378-529,The Blue Holes of the Bahamas
002-877-841-312-580,The Weather of the Bahamas
003-355-979-763-008,Retreat of carbonate platforms: Response to tectonic processes
003-497-045-183-900,Review of Blue Gold: World Water Wars
003-690-000-405-543,The Bahamas - Contracts
003-752-446-507-684,Dreaming of a Place Called Home
003-778-158-693-959,Geology and geophysics of the Bahamas
003-809-183-370-018,Relativistic SZ temperature scaling relations of groups and clusters derived from the BAHAMAS and MACSIS simulations
003-865-219-883-509,Interest Rate Determination in Small Developing Countries
004-105-005-331-025,Bahamas: isles of June
004-161-308-805-378,"Human Impacts on a Small Island Ecosystem: Lessons from the Lucayans of San Salvador, Bahamas for This Island Earth"
004-162-830-149-419,Rainfall and habitat interact to affect the condition of a wintering migratory songbird in The Bahamas
004-316-248-816-844,Bahamas
004-474-511-814-234,The Bahamas - Constitution & Politics
